sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0016	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07367	WCF07367-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07367/WCF07367_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07367/WCF07367_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	8573609.198	8909795.336
s0017	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07368	WCF07368-novogene_202402-2	data/fastqs/novogene_202402/WCF07368/WCF07368_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07368/WCF07368_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	8069024.721	8579971.285
s0017	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07368	WCF07368-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07368/WCF07368_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07368/WCF07368_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	6922305.817	7194016.351
s0018	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07369	WCF07369-novogene_202402-3	data/fastqs/novogene_202402/WCF07369/WCF07369_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07369/WCF07369_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	7971344.997	8502701.211
s0018	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07369	WCF07369-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07369/WCF07369_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07369/WCF07369_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	7908824.553	8229611.944
s0019	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07370	WCF07370-novogene_202402-3	data/fastqs/novogene_202402/WCF07370/WCF07370_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07370/WCF07370_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	8761543.432	9313775.885
s0019	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07370	WCF07370-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07370/WCF07370_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07370/WCF07370_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	8589482.861	8863994.531
s0020	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07371	WCF07371-novogene_202402-2	data/fastqs/novogene_202402/WCF07371/WCF07371_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07371/WCF07371_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	5675704.937	6080313.552
s0020	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07371	WCF07371-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07371/WCF07371_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07371/WCF07371_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	4875400.913	5104985.627
s0021	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07373	WCF07373-novogene_202402-4	data/fastqs/novogene_202402/WCF07373/WCF07373_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07373/WCF07373_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	8569302.126	8996298.909
s0021	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07373	WCF07373-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07373/WCF07373_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07373/WCF07373_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	8020954.874	8223891.132
s0022	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07376	WCF07376-novogene_202402-4	data/fastqs/novogene_202402/WCF07376/WCF07376_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07376/WCF07376_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	8266025.917	8691435.413
s0022	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07376	WCF07376-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07376/WCF07376_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07376/WCF07376_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	7789475.653	7992886.805
s0023	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07378	WCF07378-novogene_202402-2	data/fastqs/novogene_202402/WCF07378/WCF07378_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07378/WCF07378_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	8794667.351	9361249.831
