sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
SR_CCA_2023_12_02	1	Plate4	22M5VMLT4	ILLUMINA	3	SR_CCA_2023_12_02	SR_CCA_2023_12_02-Plate4-3	data/fastqs/wm152/SR_CCA_2023_12_02_1.fq.gz	data/fastqs/wm152/SR_CCA_2023_12_02_2.fq.gz	1426214.446	1430897.045
SR_CCA_2023_12_03	1	Plate4	22M5VMLT4	ILLUMINA	3	SR_CCA_2023_12_03	SR_CCA_2023_12_03-Plate4-3	data/fastqs/wm152/SR_CCA_2023_12_03_1.fq.gz	data/fastqs/wm152/SR_CCA_2023_12_03_2.fq.gz	1307351.688	1371414.241
SR_CC_2022_01	1	Plate2	22HM5LLT4	ILLUMINA	4	SR_CC_2022_01	SR_CC_2022_01-Plate2-4	data/fastqs/wm152/SR_CC_2022_01_1.fq.gz	data/fastqs/wm152/SR_CC_2022_01_2.fq.gz	1504879.198	1488374.197
SR_CC_2022_02	1	Plate3	22HVG3LT4	ILLUMINA	7	SR_CC_2022_02	SR_CC_2022_02-Plate3-7	data/fastqs/wm152/SR_CC_2022_02_1.fq.gz	data/fastqs/wm152/SR_CC_2022_02_2.fq.gz	1439477.536	1362236.278
SR_GT_2023_01	1	Plate3	22HVG3LT4	ILLUMINA	7	SR_GT_2023_01	SR_GT_2023_01-Plate3-7	data/fastqs/wm152/SR_GT_2023_01_1.fq.gz	data/fastqs/wm152/SR_GT_2023_01_2.fq.gz	1581227.048	1565366.423
UCD10_DAV_22_5_23	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD10_DAV_22_5_23	UCD10_DAV_22_5_23-Plate1-3	data/fastqs/wm152/UCD10_DAV_22_5_23_1.fq.gz	data/fastqs/wm152/UCD10_DAV_22_5_23_2.fq.gz	1337171.105	1429093.709
UCD11_DAV_22_5_23	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD11_DAV_22_5_23	UCD11_DAV_22_5_23-Plate1-3	data/fastqs/wm152/UCD11_DAV_22_5_23_1.fq.gz	data/fastqs/wm152/UCD11_DAV_22_5_23_2.fq.gz	781821.952	837919.702
UCD12_KEE_22_9_22	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD12_KEE_22_9_22	UCD12_KEE_22_9_22-Plate1-3	data/fastqs/wm152/UCD12_KEE_22_9_22_1.fq.gz	data/fastqs/wm152/UCD12_KEE_22_9_22_2.fq.gz	1235843.765	1320695.71
UCD_13_DAVIS_2023_04_28	1	Plate2	22HM5LLT4	ILLUMINA	4	UCD_13_DAVIS_2023_04_28	UCD_13_DAVIS_2023_04_28-Plate2-4	data/fastqs/wm152/UCD_13_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_13_DAVIS_2023_04_28_2.fq.gz	1124850.88	1098313.558
UCD_14_DAVIS_2023_04_28	1	Plate2	22HM5LLT4	ILLUMINA	4	UCD_14_DAVIS_2023_04_28	UCD_14_DAVIS_2023_04_28-Plate2-4	data/fastqs/wm152/UCD_14_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_14_DAVIS_2023_04_28_2.fq.gz	1165483.409	1149485.244
UCD_15_DAVIS_2023_04_28	1	Plate2	22HM5LLT4	ILLUMINA	4	UCD_15_DAVIS_2023_04_28	UCD_15_DAVIS_2023_04_28-Plate2-4	data/fastqs/wm152/UCD_15_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_15_DAVIS_2023_04_28_2.fq.gz	1350001.801	1327732.824
UCD_16_DAVIS_2023_04_28	1	Plate2	22HM5LLT4	ILLUMINA	4	UCD_16_DAVIS_2023_04_28	UCD_16_DAVIS_2023_04_28-Plate2-4	data/fastqs/wm152/UCD_16_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_16_DAVIS_2023_04_28_2.fq.gz	1177029.428	1159159.223
UCD_17_DAVIS_2023_04_28	1	Plate2	22HM5LLT4	ILLUMINA	4	UCD_17_DAVIS_2023_04_28	UCD_17_DAVIS_2023_04_28-Plate2-4	data/fastqs/wm152/UCD_17_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_17_DAVIS_2023_04_28_2.fq.gz	1654211.416	1637342.277
UCD_18_DAVIS_2023_04_28	1	Plate2	22HM5LLT4	ILLUMINA	4	UCD_18_DAVIS_2023_04_28	UCD_18_DAVIS_2023_04_28-Plate2-4	data/fastqs/wm152/UCD_18_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_18_DAVIS_2023_04_28_2.fq.gz	1542707.274	1520805.313
UCD_19_DAVIS_2023_04_28	1	Plate2	22HM5LLT4	ILLUMINA	4	UCD_19_DAVIS_2023_04_28	UCD_19_DAVIS_2023_04_28-Plate2-4	data/fastqs/wm152/UCD_19_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_19_DAVIS_2023_04_28_2.fq.gz	1537238.79	1515443.385
UCD_1_DAV_22_4_4	1	Plate1	HCVC5DSX7	ILLUMINA	3	UCD_1_DAV_22_4_4	UCD_1_DAV_22_4_4-Plate1-3	data/fastqs/wm152/UCD_1_DAV_22_4_4_1.fq.gz	data/fastqs/wm152/UCD_1_DAV_22_4_4_2.fq.gz	1343377.036	1418872.109
UCD_20_DAVIS_2023_04_28	1	Plate2	22HM5LLT4	ILLUMINA	4	UCD_20_DAVIS_2023_04_28	UCD_20_DAVIS_2023_04_28-Plate2-4	data/fastqs/wm152/UCD_20_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_20_DAVIS_2023_04_28_2.fq.gz	1160375.801	1142021.947
UCD_21_DAVIS_2023_04_28	1	Plate2	22HM5LLT4	ILLUMINA	4	UCD_21_DAVIS_2023_04_28	UCD_21_DAVIS_2023_04_28-Plate2-4	data/fastqs/wm152/UCD_21_DAVIS_2023_04_28_1.fq.gz	data/fastqs/wm152/UCD_21_DAVIS_2023_04_28_2.fq.gz	1526243.949	1512668.213
