sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0771	1	lib1	HCVC5DSX7	ILLUMINA	3	UCD_3_DAV_22_4_4	UCD_3_DAV_22_4_4-lib1-3	data/fastqs/lib1/UCD_3_DAV_22_4_4_1.fq.gz	data/fastqs/lib1/UCD_3_DAV_22_4_4_2.fq.gz	1383884.209	1452075.535
s0772	1	lib1	HCVC5DSX7	ILLUMINA	3	UCD_4_DAV_22_4_4	UCD_4_DAV_22_4_4-lib1-3	data/fastqs/lib1/UCD_4_DAV_22_4_4_1.fq.gz	data/fastqs/lib1/UCD_4_DAV_22_4_4_2.fq.gz	1391761.724	1515724.267
s0773	1	lib1	HCVC5DSX7	ILLUMINA	3	UCD_5_DAV_22_4_4	UCD_5_DAV_22_4_4-lib1-3	data/fastqs/lib1/UCD_5_DAV_22_4_4_1.fq.gz	data/fastqs/lib1/UCD_5_DAV_22_4_4_2.fq.gz	1224416.659	1278149.359
s0774	1	lib1	HCVC5DSX7	ILLUMINA	3	UCD_6_DAV_22_4_4	UCD_6_DAV_22_4_4-lib1-3	data/fastqs/lib1/UCD_6_DAV_22_4_4_1.fq.gz	data/fastqs/lib1/UCD_6_DAV_22_4_4_2.fq.gz	1355845.706	1454215.816
s0775	1	lib1	HCVC5DSX7	ILLUMINA	3	UCD_7_DAV_22_4_4	UCD_7_DAV_22_4_4-lib1-3	data/fastqs/lib1/UCD_7_DAV_22_4_4_1.fq.gz	data/fastqs/lib1/UCD_7_DAV_22_4_4_2.fq.gz	1389126.312	1502599.473
s0776	1	lib1	HCVC5DSX7	ILLUMINA	3	UCD_8_DAV_22_5_23	UCD_8_DAV_22_5_23-lib1-3	data/fastqs/lib1/UCD_8_DAV_22_5_23_1.fq.gz	data/fastqs/lib1/UCD_8_DAV_22_5_23_2.fq.gz	1315504.121	1392175.433
s0777	1	lib1	HCVC5DSX7	ILLUMINA	3	UCD_9_DAV_22_5_23	UCD_9_DAV_22_5_23-lib1-3	data/fastqs/lib1/UCD_9_DAV_22_5_23_1.fq.gz	data/fastqs/lib1/UCD_9_DAV_22_5_23_2.fq.gz	1130700.088	1204112.533
s0778	1	lib1	HCVC5DSX7	ILLUMINA	3	UCSB_IZC00034229	UCSB_IZC00034229-lib1-3	data/fastqs/lib1/UCSB_IZC00034229_1.fq.gz	data/fastqs/lib1/UCSB_IZC00034229_2.fq.gz	1118162.228	1170395.907
s0779	1	lib1	HCVC5DSX7	ILLUMINA	3	UMSP000149272	UMSP000149272-lib1-3	data/fastqs/lib1/UMSP000149272_1.fq.gz	data/fastqs/lib1/UMSP000149272_2.fq.gz	1244717.578	1318363.676
s0780	1	lib1	HCVC5DSX7	ILLUMINA	3	UMSP000149281	UMSP000149281-lib1-3	data/fastqs/lib1/UMSP000149281_1.fq.gz	data/fastqs/lib1/UMSP000149281_2.fq.gz	1189024.174	1248769.88
s0781	1	lib1	HCVC5DSX7	ILLUMINA	3	UMSP000376294	UMSP000376294-lib1-3	data/fastqs/lib1/UMSP000376294_1.fq.gz	data/fastqs/lib1/UMSP000376294_2.fq.gz	1201784.452	1281597.641
s0782	1	lib1	HCVC5DSX7	ILLUMINA	3	UMSP000376295	UMSP000376295-lib1-3	data/fastqs/lib1/UMSP000376295_1.fq.gz	data/fastqs/lib1/UMSP000376295_2.fq.gz	1298492.227	1387663.691
