sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
24N07357	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07357	24N07357_Plate5	data/fastqs/LOSH_003/L_24N07357_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07357_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3291270.492	3212620
24N07358	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07358	24N07358_Plate5	data/fastqs/LOSH_003/L_24N07358_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07358_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3939908.998	3822781.192
24N07359	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07359	24N07359_Plate5	data/fastqs/LOSH_003/L_24N07359_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07359_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3132883.381	3080418.555
24N07360	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07360	24N07360_Plate5	data/fastqs/LOSH_003/L_24N07360_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07360_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3480068.034	3366938.598
24N07361	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07361	24N07361_Plate5	data/fastqs/LOSH_003/L_24N07361_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07361_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4036145.595	3928064.592
24N07362	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07362	24N07362_Plate5	data/fastqs/LOSH_003/L_24N07362_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07362_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3960031.992	3881245.528
24N07363	1	Plate6	22FWCTLT4	ILLUMINA	8	24N07363	24N07363_Plate6	data/fastqs/LOSH_004/L_24N07363_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N07363_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	5076392.278	4965013.722
24N07364	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07364	24N07364_Plate5	data/fastqs/LOSH_003/L_24N07364_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07364_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3811770.066	3708603.053
24N07365	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07365	24N07365_Plate5	data/fastqs/LOSH_003/L_24N07365_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07365_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4036754.042	3895775.795
24N07366	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07366	24N07366_Plate5	data/fastqs/LOSH_003/L_24N07366_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07366_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4041684.493	3943103.15
24N07367	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07367	24N07367_Plate5	data/fastqs/LOSH_003/L_24N07367_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07367_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3888247.671	3789091.583
24N07368	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07368	24N07368_Plate5	data/fastqs/LOSH_003/L_24N07368_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07368_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3653799.795	3573285.473
24N07369	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07369	24N07369_Plate5	data/fastqs/LOSH_003/L_24N07369_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07369_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4237332.543	4123574.868
24N07370	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07370	24N07370_Plate5	data/fastqs/LOSH_003/L_24N07370_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07370_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4140470.21	4017890.423
24N07372	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07372	24N07372_Plate5	data/fastqs/LOSH_003/L_24N07372_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07372_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4471259.993	4309450.383
24N07373	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07373	24N07373_Plate5	data/fastqs/LOSH_003/L_24N07373_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07373_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4201950.883	4070957.867
24N07374	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07374	24N07374_Plate5	data/fastqs/LOSH_003/L_24N07374_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07374_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4558032.931	4409367.62
24N07375	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07375	24N07375_Plate5	data/fastqs/LOSH_003/L_24N07375_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07375_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4692432.383	4560123.405
24N07376	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07376	24N07376_Plate5	data/fastqs/LOSH_003/L_24N07376_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07376_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4632812.928	4479670.313
24N07377	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07377	24N07377_Plate5	data/fastqs/LOSH_003/L_24N07377_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07377_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4265990.58	4126877.843
24N07378	1	Plate5	22FWCTLT4	ILLUMINA	7	24N07378	24N07378_Plate5	data/fastqs/LOSH_003/L_24N07378_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_24N07378_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	4373223.83	4216111.496
24N11966	1	Plate6	22FWCTLT4	ILLUMINA	8	24N11966	24N11966_Plate6	data/fastqs/LOSH_004/L_24N11966_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N11966_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	5400878.088	5260969.387
24N11967	1	Plate6	22FWCTLT4	ILLUMINA	8	24N11967	24N11967_Plate6	data/fastqs/LOSH_004/L_24N11967_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N11967_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	5339399.312	5179959.855
24N11968	1	Plate6	22FWCTLT4	ILLUMINA	8	24N11968	24N11968_Plate6	data/fastqs/LOSH_004/L_24N11968_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N11968_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	8229378.996	8062797.529
24N11969	1	Plate6	22FWCTLT4	ILLUMINA	8	24N11969	24N11969_Plate6	data/fastqs/LOSH_004/L_24N11969_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N11969_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4973971.665	4795576.005
24N11970	1	Plate6	22FWCTLT4	ILLUMINA	8	24N11970	24N11970_Plate6	data/fastqs/LOSH_004/L_24N11970_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N11970_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4785248.928	4663970.565
24N11997	1	Plate6	22FWCTLT4	ILLUMINA	8	24N11997	24N11997_Plate6	data/fastqs/LOSH_004/L_24N11997_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_24N11997_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4784475.163	4672904.124
21N02082	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02082	21N02082-21N02082-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02082_S149_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02082_S149_L004_R2_001.fastq.gz	3152293.952	3209397.858
21N02084	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02084	21N02084-21N02084-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02084_S150_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02084_S150_L004_R2_001.fastq.gz	4140948.005	4192785.517
21N02085	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02085	21N02085-21N02085-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02085_S151_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02085_S151_L004_R2_001.fastq.gz	4784663.376	5009719.008
21N02096	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02096	21N02096-21N02096-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02096_S152_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02096_S152_L004_R2_001.fastq.gz	4566816.571	4724364.301
21N02098	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02098	21N02098-21N02098-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02098_S153_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02098_S153_L004_R2_001.fastq.gz	4694861.404	4860623.541
21N02101	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02101	21N02101-21N02101-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02101_S154_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02101_S154_L004_R2_001.fastq.gz	5309680.941	2694610.944
21N02102	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02102	21N02102-21N02102-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02102_S155_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02102_S155_L004_R2_001.fastq.gz	5716124.168	5913837.322
