sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
21N02124	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02124	21N02124_Plate6	data/fastqs/LOSH_004/L_21N02124_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02124_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4309201.363	4221693.859
21N02125	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02125	21N02125_Plate6	data/fastqs/LOSH_004/L_21N02125_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02125_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3754526.42	3653286.411
21N02128	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02128	21N02128_Plate6	data/fastqs/LOSH_004/L_21N02128_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02128_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4027681.846	3939774.875
21N02129	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02129	21N02129_Plate6	data/fastqs/LOSH_004/L_21N02129_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02129_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3555599.661	3471226.526
21N02192	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02192	21N02192_Plate6	data/fastqs/LOSH_004/L_21N02192_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02192_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	2675165.268	2603206.604
21N02193	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02193	21N02193_Plate6	data/fastqs/LOSH_004/L_21N02193_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02193_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4445908.2	4386553.213
21N02194	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02194	21N02194_Plate6	data/fastqs/LOSH_004/L_21N02194_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02194_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3842729.278	3779899.627
21N02195	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02195	21N02195_Plate6	data/fastqs/LOSH_004/L_21N02195_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02195_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4107210.51	4024585.784
21N02196	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02196	21N02196_Plate6	data/fastqs/LOSH_004/L_21N02196_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02196_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4281138.305	4210505.573
21N02197	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02197	21N02197_Plate6	data/fastqs/LOSH_004/L_21N02197_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02197_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3008062.802	2946798.628
21N02198	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02198	21N02198_Plate6	data/fastqs/LOSH_004/L_21N02198_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02198_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	2559310.851	2497759.066
21N02199	1	Plate6	22FWCTLT4	ILLUMINA	8	21N02199	21N02199_Plate6	data/fastqs/LOSH_004/L_21N02199_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_21N02199_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3552416.059	3488579.473
